ZIP5,ZIP3,Eligible Delivery Points,RU,HH,Email,Area,District
00771,007,11046,760,624,700,SOUTHERN,PUERTO RICO
00772,007,4352,214,182,196,SOUTHERN,PUERTO RICO
00773,007,8814,591,478,537,SOUTHERN,PUERTO RICO
00775,007,847,92,72,85,SOUTHERN,PUERTO RICO
00777,007,12692,1024,817,954,SOUTHERN,PUERTO RICO
00778,007,13271,1432,1141,1289,SOUTHERN,PUERTO RICO
00780,007,5484,543,440,484,SOUTHERN,PUERTO RICO
00782,007,5370,247,212,230,SOUTHERN,PUERTO RICO
00783,007,7824,609,492,571,SOUTHERN,PUERTO RICO
00784,007,12595,462,376,422,SOUTHERN,PUERTO RICO
00785,007,2459,231,184,223,SOUTHERN,PUERTO RICO
00786,007,242,20,15,20,SOUTHERN,PUERTO RICO
00791,007,16300,1365,1078,1241,SOUTHERN,PUERTO RICO
00792,007,2193,274,229,256,SOUTHERN,PUERTO RICO
00794,007,5660,472,386,438,SOUTHERN,PUERTO RICO
00795,007,13421,939,749,874,SOUTHERN,PUERTO RICO
00801,008,4507,772,612,717,SOUTHERN,PUERTO RICO
00802,008,5341,850,663,767,SOUTHERN,PUERTO RICO
00803,008,5048,750,600,697,SOUTHERN,PUERTO RICO
00804,008,1612,247,204,234,SOUTHERN,PUERTO RICO
00805,008,778,152,118,144,SOUTHERN,PUERTO RICO
00820,008,4021,583,450,520,SOUTHERN,PUERTO RICO
00821,008,1138,326,234,304,SOUTHERN,PUERTO RICO
00822,008,1680,185,161,175,SOUTHERN,PUERTO RICO
00823,008,3263,700,545,652,SOUTHERN,PUERTO RICO
00824,008,1767,434,322,409,SOUTHERN,PUERTO RICO
00830,008,543,88,74,73,SOUTHERN,PUERTO RICO
00831,008,1416,213,174,199,SOUTHERN,PUERTO RICO
00840,008,3001,268,219,240,SOUTHERN,PUERTO RICO
00841,008,2405,509,386,472,SOUTHERN,PUERTO RICO
00850,008,632,156,121,145,SOUTHERN,PUERTO RICO
00851,008,4637,1293,1003,1197,SOUTHERN,PUERTO RICO
00901,009,3355,375,291,344,SOUTHERN,PUERTO RICO
00902,009,3650,183,153,175,SOUTHERN,PUERTO RICO
00907,009,10098,1300,1050,1125,SOUTHERN,PUERTO RICO
00908,009,2058,151,129,143,SOUTHERN,PUERTO RICO
00909,009,2738,312,251,287,SOUTHERN,PUERTO RICO
00910,009,1817,96,79,88,SOUTHERN,PUERTO RICO
00911,009,3985,552,409,477,SOUTHERN,PUERTO RICO
00912,009,2509,213,173,188,SOUTHERN,PUERTO RICO
00913,009,3357,211,172,184,SOUTHERN,PUERTO RICO
00914,009,773,99,83,93,SOUTHERN,PUERTO RICO
00915,009,9488,340,274,311,SOUTHERN,PUERTO RICO
00916,009,914,24,22,24,SOUTHERN,PUERTO RICO
00917,009,7023,460,378,412,SOUTHERN,PUERTO RICO
00918,009,7393,957,743,835,SOUTHERN,PUERTO RICO
00919,009,3325,312,271,295,SOUTHERN,PUERTO RICO
00920,009,4760,463,377,409,SOUTHERN,PUERTO RICO
00921,009,12007,927,723,815,SOUTHERN,PUERTO RICO
00922,009,1184,120,109,110,SOUTHERN,PUERTO RICO
00923,009,10564,479,393,440,SOUTHERN,PUERTO RICO
00924,009,19446,1194,977,1074,SOUTHERN,PUERTO RICO
00925,009,2715,180,153,164,SOUTHERN,PUERTO RICO
00926,009,34899,4367,3445,3775,SOUTHERN,PUERTO RICO
00927,009,5950,753,599,646,SOUTHERN,PUERTO RICO
00928,009,2683,126,113,117,SOUTHERN,PUERTO RICO
00929,009,1852,144,123,139,SOUTHERN,PUERTO RICO
00931,009,796,54,46,53,SOUTHERN,PUERTO RICO
00933,009,191,10,10,10,SOUTHERN,PUERTO RICO
00934,009,618,58,41,43,SOUTHERN,PUERTO RICO
00936,009,4197,751,623,707,SOUTHERN,PUERTO RICO
00937,009,879,34,29,32,SOUTHERN,PUERTO RICO
00940,009,1107,41,34,35,SOUTHERN,PUERTO RICO
00949,009,18255,1882,1494,1701,SOUTHERN,PUERTO RICO
00950,009,2084,129,105,124,SOUTHERN,PUERTO RICO
00951,009,2374,116,92,110,SOUTHERN,PUERTO RICO
00952,009,4195,358,286,338,SOUTHERN,PUERTO RICO
00953,009,18609,1752,1445,1552,SOUTHERN,PUERTO RICO
00954,009,1426,138,116,130,SOUTHERN,PUERTO RICO
00956,009,22150,1663,1383,1472,SOUTHERN,PUERTO RICO
00957,009,14428,1090,882,954,SOUTHERN,PUERTO RICO
00958,009,820,100,83,96,SOUTHERN,PUERTO RICO
00959,009,16432,1542,1284,1376,SOUTHERN,PUERTO RICO
00960,009,4977,427,347,402,SOUTHERN,PUERTO RICO
00961,009,10575,1074,867,967,SOUTHERN,PUERTO RICO
00962,009,6888,351,285,319,SOUTHERN,PUERTO RICO
00963,009,1503,98,77,92,SOUTHERN,PUERTO RICO
00965,009,1716,92,70,85,SOUTHERN,PUERTO RICO
00966,009,7137,1017,797,870,SOUTHERN,PUERTO RICO
00968,009,1958,280,218,238,SOUTHERN,PUERTO RICO
00969,009,14049,2127,1631,1802,SOUTHERN,PUERTO RICO
00970,009,3402,434,356,410,SOUTHERN,PUERTO RICO
00971,009,6342,549,458,498,SOUTHERN,PUERTO RICO
00976,009,17058,1551,1242,1348,SOUTHERN,PUERTO RICO
00977,009,1832,175,144,171,SOUTHERN,PUERTO RICO
00978,009,1219,74,65,67,SOUTHERN,PUERTO RICO
00979,009,10420,883,723,777,SOUTHERN,PUERTO RICO
00981,009,354,40,33,36,SOUTHERN,PUERTO RICO
